timestamp,co2[ppm],heartbeat[undefined],humidity[%],temperature[°F]
2023-11-22T02:29:00-05:00,825.7,---,41.72,65.6
2023-11-22T03:10:00-05:00,---,---,---,---
2023-11-22T03:50:00-05:00,---,---,---,---
2023-11-22T04:30:00-05:00,---,---,---,---
2023-11-22T05:10:00-05:00,---,---,---,---
2023-11-22T05:50:00-05:00,---,---,---,---
2023-11-22T06:30:00-05:00,---,---,---,---
2023-11-22T07:10:00-05:00,---,---,---,---
2023-11-22T07:50:00-05:00,---,---,---,---
2023-11-22T08:30:00-05:00,---,---,---,---
2023-11-22T09:10:02-05:00,792.6,---,43.52,65.8
2023-11-22T09:50:02-05:00,847.2,---,44.13,65.5
2023-11-22T10:31:03-05:00,1036.5,---,45.67,65.7
2023-11-22T11:11:03-05:00,1081.5,---,44.51,65.8
2023-11-22T11:51:03-05:00,958.4,---,43.77,65.4
2023-11-22T12:31:03-05:00,886.8,---,43.52,65.1
2023-11-22T13:11:03-05:00,833.3,---,43.16,65.1
2023-11-22T13:51:04-05:00,813.5,---,42.82,65.2
2023-11-22T14:31:04-05:00,789.8,---,42.65,65.1
2023-11-22T15:11:04-05:00,761.8,---,43.01,64.6
2023-11-22T15:51:04-05:00,601.3,---,43.16,65.8
2023-11-22T16:31:05-05:00,574.7,---,41.77,67.3
2023-11-22T17:11:05-05:00,573.2,---,41.59,67.6
2023-11-22T17:52:05-05:00,564.9,---,41.82,67.5
2023-11-22T18:32:05-05:00,565.1,---,42.36,67.1
2023-11-22T19:12:05-05:00,529.7,---,42.32,67.1
2023-11-22T19:52:06-05:00,1551.4,---,48.76,67.1
2023-11-22T20:32:06-05:00,1339.5,---,45.72,67.3
2023-11-22T21:12:06-05:00,1083.6,---,44.24,67
2023-11-22T21:52:07-05:00,1074.4,---,44.72,67.7
2023-11-22T22:32:07-05:00,1122.8,---,46.06,66.9
2023-11-22T23:12:07-05:00,1155.6,---,45.97,66.6
2023-11-22T23:52:07-05:00,1107.4,---,46.62,65.9
2023-11-23T00:30:07-05:00,1037,---,46.16,65.6
2023-11-23T01:09:08-05:00,922.3,---,46.09,64.9
2023-11-23T01:50:00-05:00,---,---,---,---
2023-11-23T02:30:00-05:00,---,---,---,---
2023-11-23T03:10:00-05:00,---,---,---,---
2023-11-23T03:50:00-05:00,---,---,---,---
2023-11-23T04:30:00-05:00,---,---,---,---
2023-11-23T05:10:00-05:00,---,---,---,---
2023-11-23T05:50:00-05:00,---,---,---,---
2023-11-23T06:30:00-05:00,---,---,---,---
2023-11-23T07:10:00-05:00,---,---,---,---
2023-11-23T07:50:00-05:00,---,---,---,---
2023-11-23T08:30:00-05:00,---,---,---,---
2023-11-23T09:10:10-05:00,792.4,---,46.11,65.2
2023-11-23T09:50:11-05:00,859.6,---,46,64.7
2023-11-23T10:30:11-05:00,924.8,---,46.86,64.7
2023-11-23T11:10:11-05:00,809.2,---,46.19,67
2023-11-23T11:50:11-05:00,1577,---,46.66,68.1
2023-11-23T12:30:11-05:00,1614,---,48.79,68.9
2023-11-23T13:10:11-05:00,1392.8,---,42.48,72.6
2023-11-23T13:50:11-05:00,1198.2,---,41.29,71.6
2023-11-23T14:30:11-05:00,1127.3,---,42.61,69.7
2023-11-23T15:10:12-05:00,1202.1,---,46.19,68.5
2023-11-23T15:50:12-05:00,2255.5,---,51.33,68.2
